1,1,21.0
2,4,22.0
3,1,23.0
4,4,24.0
5,2,25.0
6,3,26.0
7,2,27.0
8,3,28.0
9,4,28.5
10,3,30.5
11,1,31.5
12,4,32.0
13,5,33.0
14,6,34.0
15,8,35.0
16,6,36.0
17,1,36.25
18,1,36.75
19,4,37.25
20,3,38.25
21,2,39.25
22,4,39.75
23,3,40.0
24,1,40.5
25,4,41.5
26,4,42.5
27,5,43.0
28,6,43.5
29,6,44.0
30,2,44.25
31,3,45.25
32,4,45.75
33,2,46.25
34,2,47.25
35,4,47.75
36,3,48.0
37,5,48.25
38,5,48.75
39,6,49.75
40,5,50.75
41,2,51.25
42,3,51.5
43,4,51.75
44,1,52.5
45,2,53.0
46,3,53.5
47,4,54.0
48,5,54.5
49,6,55.0
50,7,55.5
51,8,56.0
52,1,56.5
53,3,57.0
54,2,57.5
55,4,58.0
56,5,58.5
57,7,59.0
58,6,59.5
59,8,60.0
60,1,60.25
61,2,60.5
62,3,60.75
63,2,61.25
64,3,61.5
65,4,61.75
66,1,62.25
67,3,62.5
68,4,62.75
69,2,63.25
70,4,63.5
71,1,63.75
72,6,64.25
73,8,64.5
74,3,69.0
75,4,70.0
76,3,71.0
77,4,72.0
78,5,72.25
79,5,73.25
80,6,74.25
81,6,75.25
82,2,75.75
83,3,76.0
84,8,76.25
85,4,77.25
86,7,78.25
87,1,79.0
88,1,79.75
89,4,80.25
90,6,81.0
91,4,81.75
92,6,82.75
93,5,83.25
